Question	Answer	Source
"""yes for sure"","	smalltalk.confirmation.yes	Editorial
"""all right"""	smalltalk.confirmation.yes	Editorial
"""are you sure"","	smalltalk.agent.sure	Editorial
"""are you sure right now"","	smalltalk.agent.sure	Editorial
"""are you sure today"","	smalltalk.agent.sure	Editorial
"""are you sure now"","	smalltalk.agent.sure	Editorial
"""are you sure tonight"""	smalltalk.agent.sure	Editorial
"""why aren't you talking to me"","	smalltalk.agent.talk_to_me	Editorial
"""do you want to chat with me"","	smalltalk.agent.talk_to_me	Editorial
"""will you talk to me"","	smalltalk.agent.talk_to_me	Editorial
"""talk to me"","	smalltalk.agent.talk_to_me	Editorial
"""are you going to talk to me"","	smalltalk.agent.talk_to_me	Editorial
"""are you talking to me"","	smalltalk.agent.talk_to_me	Editorial
"""can you chat with me"","	smalltalk.agent.talk_to_me	Editorial
"""can you speak with me"","	smalltalk.agent.talk_to_me	Editorial
"""can you talk to me"","	smalltalk.agent.talk_to_me	Editorial
"""can you talk with me"","	smalltalk.agent.talk_to_me	Editorial
"""say"","	smalltalk.agent.talk_to_me	Editorial
"""talk"","	smalltalk.agent.talk_to_me	Editorial
"""chat with me"","	smalltalk.agent.talk_to_me	Editorial
"""just chat with me"","	smalltalk.agent.talk_to_me	Editorial
"""speak to me"","	smalltalk.agent.talk_to_me	Editorial
"""speak with me"","	smalltalk.agent.talk_to_me	Editorial
"""talk with me"","	smalltalk.agent.talk_to_me	Editorial
"""why don't you talk to me"","	smalltalk.agent.talk_to_me	Editorial
"""you can talk to me"""	smalltalk.agent.talk_to_me	Editorial
"""are you there"","	smalltalk.agent.there	Editorial
"""you are there"","	smalltalk.agent.there	Editorial
"""are you near me"","	smalltalk.agent.there	Editorial
"""are you here"","	smalltalk.agent.there	Editorial
"""are you still there"","	smalltalk.agent.there	Editorial
"""you are here"","	smalltalk.agent.there	Editorial
"""you still there"","	smalltalk.agent.there	Editorial
"""are you still here"""	smalltalk.agent.there	Editorial
"""pretty bad"","	smalltalk.appraisal.bad	Editorial
"""not good enough"","	smalltalk.appraisal.bad	Editorial
"""that was lame"","	smalltalk.appraisal.bad	Editorial
"""that was terrible"","	smalltalk.appraisal.bad	Editorial
"""it is bad"","	smalltalk.appraisal.bad	Editorial
"""that's bad"","	smalltalk.appraisal.bad	Editorial
"""this is bad"","	smalltalk.appraisal.bad	Editorial
"""not good"","	smalltalk.appraisal.bad	Editorial
"""I'm afraid it's bad"","	smalltalk.appraisal.bad	Editorial
"""no it's bad"","	smalltalk.appraisal.bad	Editorial
"""that was awful"","	smalltalk.appraisal.bad	Editorial
"""bad"","	smalltalk.appraisal.bad	Editorial
"""so bad"","	smalltalk.appraisal.bad	Editorial
"""this is too bad"","	smalltalk.appraisal.bad	Editorial
"""terrible"","	smalltalk.appraisal.bad	Editorial
"""horrible"","	smalltalk.appraisal.bad	Editorial
"""horrific"","	smalltalk.appraisal.bad	Editorial
"""abysmal"","	smalltalk.appraisal.bad	Editorial
"""it's bad"","	smalltalk.appraisal.bad	Editorial
"""no good"","	smalltalk.appraisal.bad	Editorial
"""that was bad"","	smalltalk.appraisal.bad	Editorial
"""that was horrible"","	smalltalk.appraisal.bad	Editorial
"""that's lame"","	smalltalk.appraisal.bad	Editorial
"""that's not good"","	smalltalk.appraisal.bad	Editorial
"""that's terrible"","	smalltalk.appraisal.bad	Editorial
"""that's too bad"","	smalltalk.appraisal.bad	Editorial
"""this is not good"","	smalltalk.appraisal.bad	Editorial
"""too bad"","	smalltalk.appraisal.bad	Editorial
"""very bad"","	smalltalk.appraisal.bad	Editorial
"""bad girl"","	smalltalk.appraisal.bad	Editorial
"""it's not good"","	smalltalk.appraisal.bad	Editorial
"""not so good"","	smalltalk.appraisal.bad	Editorial
"""it's very bad"","	smalltalk.appraisal.bad	Editorial
"""it's too bad"","	smalltalk.appraisal.bad	Editorial
"""that's not good enough"","	smalltalk.appraisal.bad	Editorial
"""well too bad"","	smalltalk.appraisal.bad	Editorial
"""bad very bad"","	smalltalk.appraisal.bad	Editorial
"""it's so bad"","	smalltalk.appraisal.bad	Editorial
"""really bad"","	smalltalk.appraisal.bad	Editorial
"""it's really bad"","	smalltalk.appraisal.bad	Editorial
"""bad idea"","	smalltalk.appraisal.bad	Editorial
"""that is bad"","	smalltalk.appraisal.bad	Editorial
"""that was not good"","	smalltalk.appraisal.bad	Editorial
"""it's not so good"","	smalltalk.appraisal.bad	Editorial
"""not a good one"","	smalltalk.appraisal.bad	Editorial
"""oh that's not good"","	smalltalk.appraisal.bad	Editorial
"""not too good"","	smalltalk.appraisal.bad	Editorial
"""so lame"","	smalltalk.appraisal.bad	Editorial
"""that's really bad"","	smalltalk.appraisal.bad	Editorial
"""it is too bad"","	smalltalk.appraisal.bad	Editorial
"""bad really bad"""	smalltalk.appraisal.bad	Editorial
"""so cool"","	smalltalk.appraisal.good	Editorial
"""cool"","	smalltalk.appraisal.good	Editorial
"""that is good"","	smalltalk.appraisal.good	Editorial
"""glad to hear that"","	smalltalk.appraisal.good	Editorial
"""that's very nice of you"","	smalltalk.appraisal.good	Editorial
"""terrific"","	smalltalk.appraisal.good	Editorial
"""it's amazing"","	smalltalk.appraisal.good	Editorial
"""that's awesome"","	smalltalk.appraisal.good	Editorial
"""perfect"","	smalltalk.appraisal.good	Editorial
"""excellent"","	smalltalk.appraisal.good	Editorial
"""that's great"","	smalltalk.appraisal.good	Editorial
"""it's good"","	smalltalk.appraisal.good	Editorial
"""it's great"","	smalltalk.appraisal.good	Editorial
"""fine"","	smalltalk.appraisal.good	Editorial
"""good"","	smalltalk.appraisal.good	Editorial
"""nice"","	smalltalk.appraisal.good	Editorial
"""that's fine"","	smalltalk.appraisal.good	Editorial
"""very good"","	smalltalk.appraisal.good	Editorial
"""amazing"","	smalltalk.appraisal.good	Editorial
"""fantastic"","	smalltalk.appraisal.good	Editorial
"""great"","	smalltalk.appraisal.good	Editorial
"""good very good"","	smalltalk.appraisal.good	Editorial
"""that's very good"","	smalltalk.appraisal.good	Editorial
"""really good"","	smalltalk.appraisal.good	Editorial
"""it is fine"","	smalltalk.appraisal.good	Editorial
"""it is good"","	smalltalk.appraisal.good	Editorial
"""it's perfect"","	smalltalk.appraisal.good	Editorial
"""much better"","	smalltalk.appraisal.good	Editorial
"""not bad"","	smalltalk.appraisal.good	Editorial
"""not too bad"","	smalltalk.appraisal.good	Editorial
"""it's very good"","	smalltalk.appraisal.good	Editorial
"""marvelous"","	smalltalk.appraisal.good	Editorial
"""that's nice"","	smalltalk.appraisal.good	Editorial
"""pleasant"","	smalltalk.appraisal.good	Editorial
"""pretty good"","	smalltalk.appraisal.good	Editorial
"""really nice"","	smalltalk.appraisal.good	Editorial
"""splendid"","	smalltalk.appraisal.good	Editorial
"""straight"","	smalltalk.appraisal.good	Editorial
"""super"","	smalltalk.appraisal.good	Editorial
"""super fantastic"","	smalltalk.appraisal.good	Editorial
"""sweet"","	smalltalk.appraisal.good	Editorial
"""really well"","	smalltalk.appraisal.good	Editorial
"""very well"","	smalltalk.appraisal.good	Editorial
"""that is awesome"","	smalltalk.appraisal.good	Editorial
"""that is nice"","	smalltalk.appraisal.good	Editorial
"""that is wonderful"","	smalltalk.appraisal.good	Editorial
"""that was amazing"","	smalltalk.appraisal.good	Editorial
"""that was awesome"","	smalltalk.appraisal.good	Editorial
"""that was cute"","	smalltalk.appraisal.good	Editorial
"""that was pretty good"","	smalltalk.appraisal.good	Editorial
"""that was very good"","	smalltalk.appraisal.good	Editorial
"""that's a good idea"","	smalltalk.appraisal.good	Editorial
"""that's a good thing"","	smalltalk.appraisal.good	Editorial
"""that's amazing"","	smalltalk.appraisal.good	Editorial
"""that's awesome thank you"","	smalltalk.appraisal.good	Editorial
"""that's better"","	smalltalk.appraisal.good	Editorial
"""that's cute"","	smalltalk.appraisal.good	Editorial
"""that's fantastic"","	smalltalk.appraisal.good	Editorial
"""that's much better"","	smalltalk.appraisal.good	Editorial
"""that's nice of you"","	smalltalk.appraisal.good	Editorial
"""that's not bad"","	smalltalk.appraisal.good	Editorial
"""that's perfect"","	smalltalk.appraisal.good	Editorial
"""that's pretty good"","	smalltalk.appraisal.good	Editorial
"""that's really good"","	smalltalk.appraisal.good	Editorial
"""that's really nice"","	smalltalk.appraisal.good	Editorial
"""that's sweet of you"","	smalltalk.appraisal.good	Editorial
"""that's very nice"","	smalltalk.appraisal.good	Editorial
"""that's wonderful"","	smalltalk.appraisal.good	Editorial
"""this is awesome"","	smalltalk.appraisal.good	Editorial
"""this is good"","	smalltalk.appraisal.good	Editorial
"""this is great"","	smalltalk.appraisal.good	Editorial
"""very nice"","	smalltalk.appraisal.good	Editorial
"""very then"","	smalltalk.appraisal.good	Editorial
"""wonderful"","	smalltalk.appraisal.good	Editorial
"""I'm glad to hear that"","	smalltalk.appraisal.good	Editorial
"""ok good"","	smalltalk.appraisal.good	Editorial
"""good for you"","	smalltalk.appraisal.good	Editorial
"""good to know"","	smalltalk.appraisal.good	Editorial
"""glad to hear it"","	smalltalk.appraisal.good	Editorial
"""so good"","	smalltalk.appraisal.good	Editorial
"""so sweet of you"","	smalltalk.appraisal.good	Editorial
"""it was good"","	smalltalk.appraisal.good	Editorial
"""oh well"","	smalltalk.appraisal.good	Editorial
"""good thing"","	smalltalk.appraisal.good	Editorial
"""that was good"","	smalltalk.appraisal.good	Editorial
"""it's awesome"","	smalltalk.appraisal.good	Editorial
"""okay good"","	smalltalk.appraisal.good	Editorial
"""no it's okay"","	smalltalk.appraisal.good	Editorial
"""that's fine"""	smalltalk.appraisal.good	Editorial
"""no worries"","	smalltalk.appraisal.no_problem	Editorial
"""no probs"","	smalltalk.appraisal.no_problem	Editorial
"""no problem"","	smalltalk.appraisal.no_problem	Editorial
"""there's no problem"","	smalltalk.appraisal.no_problem	Editorial
"""sure no problem"","	smalltalk.appraisal.no_problem	Editorial
"""no problem about that"","	smalltalk.appraisal.no_problem	Editorial
"""don't worry"","	smalltalk.appraisal.no_problem	Editorial
"""don't worry there's no problem"""	smalltalk.appraisal.no_problem	Editorial
"""you helped a lot thank you"","	smalltalk.appraisal.thank_you	Editorial
"""appreciate your help"","	smalltalk.appraisal.thank_you	Editorial
"""cheers"","	smalltalk.appraisal.thank_you	Editorial
"""thank you"","	smalltalk.appraisal.thank_you	Editorial
"""thanks"","	smalltalk.appraisal.thank_you	Editorial
"""thanks a lot"","	smalltalk.appraisal.thank_you	Editorial
"""terrific thank you"","	smalltalk.appraisal.thank_you	Editorial
"""great thank you"","	smalltalk.appraisal.thank_you	Editorial
"""thanks so much"","	smalltalk.appraisal.thank_you	Editorial
"""thank you so much"","	smalltalk.appraisal.thank_you	Editorial
"""thanks for your help"","	smalltalk.appraisal.thank_you	Editorial
"""thank you for your help"","	smalltalk.appraisal.thank_you	Editorial
"""nice thank you"","	smalltalk.appraisal.thank_you	Editorial
"""I appreciate it"","	smalltalk.appraisal.thank_you	Editorial
"""I thank you"","	smalltalk.appraisal.thank_you	Editorial
"""thank you that will be all"","	smalltalk.appraisal.thank_you	Editorial
"""thanks buddy"","	smalltalk.appraisal.thank_you	Editorial
"""thanks love"","	smalltalk.appraisal.thank_you	Editorial
"""thank you my friend"","	smalltalk.appraisal.thank_you	Editorial
"""well thanks"","	smalltalk.appraisal.thank_you	Editorial
"""very good thank you"","	smalltalk.appraisal.thank_you	Editorial
"""good thanks"","	smalltalk.appraisal.thank_you	Editorial
"""thanks again"","	smalltalk.appraisal.thank_you	Editorial
"""thank you again"","	smalltalk.appraisal.thank_you	Editorial
"""all thank you"","	smalltalk.appraisal.thank_you	Editorial
"""alright thank you"","	smalltalk.appraisal.thank_you	Editorial
"""alright thanks"","	smalltalk.appraisal.thank_you	Editorial
"""no thank you that's all"","	smalltalk.appraisal.thank_you	Editorial
"""perfect thank you"","	smalltalk.appraisal.thank_you	Editorial
"""so nice of you"","	smalltalk.appraisal.thank_you	Editorial
"""well thank you"","	smalltalk.appraisal.thank_you	Editorial
"""thnx"","	smalltalk.appraisal.thank_you	Editorial
"""thanx"""	smalltalk.appraisal.thank_you	Editorial
"""that's my pleasure"","	smalltalk.appraisal.welcome	Editorial
"""my pleasure"","	smalltalk.appraisal.welcome	Editorial
"""anytime"","	smalltalk.appraisal.welcome	Editorial
"""welcome"","	smalltalk.appraisal.welcome	Editorial
"""you're welcome"","	smalltalk.appraisal.welcome	Editorial
"""sure welcome"","	smalltalk.appraisal.welcome	Editorial
"""welcome here"","	smalltalk.appraisal.welcome	Editorial
"""you're so welcome"","	smalltalk.appraisal.welcome	Editorial
"""anything you want"""	smalltalk.appraisal.welcome	Editorial
"""good job"","	smalltalk.appraisal.well_done	Editorial
"""great job"","	smalltalk.appraisal.well_done	Editorial
"""way to go"","	smalltalk.appraisal.well_done	Editorial
"""well done"","	smalltalk.appraisal.well_done	Editorial
"""nice work"","	smalltalk.appraisal.well_done	Editorial
"""great work"","	smalltalk.appraisal.well_done	Editorial
"""amazing work"","	smalltalk.appraisal.well_done	Editorial
"""bravo"","	smalltalk.appraisal.well_done	Editorial
"""good work"""	smalltalk.appraisal.well_done	Editorial
"""cancel"","	smalltalk.confirmation.cancel	Editorial
"""abort"","	smalltalk.confirmation.cancel	Editorial
"""annul"","	smalltalk.confirmation.cancel	Editorial
"""cancel it"","	smalltalk.confirmation.cancel	Editorial
"""cancel request"","	smalltalk.confirmation.cancel	Editorial
"""cancelled"","	smalltalk.confirmation.cancel	Editorial
"""dismiss"","	smalltalk.confirmation.cancel	Editorial
"""dismissed"","	smalltalk.confirmation.cancel	Editorial
"""disregard"","	smalltalk.confirmation.cancel	Editorial
"""disregard that"","	smalltalk.confirmation.cancel	Editorial
"""skip"","	smalltalk.confirmation.cancel	Editorial
"""skip it"","	smalltalk.confirmation.cancel	Editorial
"""cancel everything"","	smalltalk.confirmation.cancel	Editorial
"""cancel all"","	smalltalk.confirmation.cancel	Editorial
"""forget about it"","	smalltalk.confirmation.cancel	Editorial
"""forget"","	smalltalk.confirmation.cancel	Editorial
"""don't do that"","	smalltalk.confirmation.cancel	Editorial
"""stop"","	smalltalk.confirmation.cancel	Editorial
"""just forget it"","	smalltalk.confirmation.cancel	Editorial
"""forget that"","	smalltalk.confirmation.cancel	Editorial
"""discard"","	smalltalk.confirmation.cancel	Editorial
"""forget this"","	smalltalk.confirmation.cancel	Editorial
"""just forget about it"","	smalltalk.confirmation.cancel	Editorial
"""forget about that"","	smalltalk.confirmation.cancel	Editorial
"""i said cancel"","	smalltalk.confirmation.cancel	Editorial
"""just cancel it"","	smalltalk.confirmation.cancel	Editorial
"""nothing cancel"","	smalltalk.confirmation.cancel	Editorial
"""just stop it"","	smalltalk.confirmation.cancel	Editorial
"""no cancel cancel"","	smalltalk.confirmation.cancel	Editorial
"""no just cancel"","	smalltalk.confirmation.cancel	Editorial
"""cancel my request"","	smalltalk.confirmation.cancel	Editorial
"""can you cancel that"","	smalltalk.confirmation.cancel	Editorial
"""cancel all that"","	smalltalk.confirmation.cancel	Editorial
"""cancel this request"","	smalltalk.confirmation.cancel	Editorial
"""no cancel this"","	smalltalk.confirmation.cancel	Editorial
"""no cancel everything"","	smalltalk.confirmation.cancel	Editorial
"""no stop"","	smalltalk.confirmation.cancel	Editorial
"""just forget"","	smalltalk.confirmation.cancel	Editorial
"""i want to cancel"","	smalltalk.confirmation.cancel	Editorial
"""nevermind forget about it"","	smalltalk.confirmation.cancel	Editorial
"""no just cancel it"","	smalltalk.confirmation.cancel	Editorial
"""nothing just forget it"","	smalltalk.confirmation.cancel	Editorial
"""i said cancel it"","	smalltalk.confirmation.cancel	Editorial
"""cancel the whole thing"","	smalltalk.confirmation.cancel	Editorial
"""can you cancel it"","	smalltalk.confirmation.cancel	Editorial
"""so cancel"","	smalltalk.confirmation.cancel	Editorial
"""i said forget it"","	smalltalk.confirmation.cancel	Editorial
"""cancel all this"","	smalltalk.confirmation.cancel	Editorial
"""forget it nevermind"","	smalltalk.confirmation.cancel	Editorial
"""stop it"","	smalltalk.confirmation.cancel	Editorial
"""i want to cancel it"","	smalltalk.confirmation.cancel	Editorial
"""i would like to cancel"","	smalltalk.confirmation.cancel	Editorial
"""now cancel"","	smalltalk.confirmation.cancel	Editorial
"""cancel now"","	smalltalk.confirmation.cancel	Editorial
"""sorry cancel"","	smalltalk.confirmation.cancel	Editorial
"""cancel that one"","	smalltalk.confirmation.cancel	Editorial
"""skip skip skip"","	smalltalk.confirmation.cancel	Editorial
"""cancel it cancel it"","	smalltalk.confirmation.cancel	Editorial
"""cancel that cancel that"","	smalltalk.confirmation.cancel	Editorial
"""do nothing"","	smalltalk.confirmation.cancel	Editorial
"""I said cancel cancel"","	smalltalk.confirmation.cancel	Editorial
"""but can you cancel it"""	smalltalk.confirmation.cancel	Editorial
"""how about no"","	smalltalk.confirmation.no	Editorial
"""don t have a sense"","	smalltalk.confirmation.no	Editorial
"""no"","	smalltalk.confirmation.no	Editorial
"""don't"","	smalltalk.confirmation.no	Editorial
"""I don't want that"","	smalltalk.confirmation.no	Editorial
"""I disagree"","	smalltalk.confirmation.no	Editorial
"""disagree"","	smalltalk.confirmation.no	Editorial
"""I don't want"","	smalltalk.confirmation.no	Editorial
"""not interested"","	smalltalk.confirmation.no	Editorial
"""I don't think so"","	smalltalk.confirmation.no	Editorial
"""no way"","	smalltalk.confirmation.no	Editorial
"""no it isn't"","	smalltalk.confirmation.no	Editorial
"""no I don't"","	smalltalk.confirmation.no	Editorial
"""I'm not"","	smalltalk.confirmation.no	Editorial
"""na"","	smalltalk.confirmation.no	Editorial
"""no that's fine thank you"","	smalltalk.confirmation.no	Editorial
"""never"","	smalltalk.confirmation.no	Editorial
"""I said no"","	smalltalk.confirmation.no	Editorial
"""of course not"","	smalltalk.confirmation.no	Editorial
"""nah"","	smalltalk.confirmation.no	Editorial
"""no tanks"","	smalltalk.confirmation.no	Editorial
"""no never"","	smalltalk.confirmation.no	Editorial
"""no need"","	smalltalk.confirmation.no	Editorial
"""no thanks"","	smalltalk.confirmation.no	Editorial
"""no sorry"","	smalltalk.confirmation.no	Editorial
"""do not"","	smalltalk.confirmation.no	Editorial
"""not today"","	smalltalk.confirmation.no	Editorial
"""no it's not"","	smalltalk.confirmation.no	Editorial
"""absolutely not"","	smalltalk.confirmation.no	Editorial
"""not that"","	smalltalk.confirmation.no	Editorial
"""nooo"","	smalltalk.confirmation.no	Editorial
"""nope"","	smalltalk.confirmation.no	Editorial
"""I don't want to"","	smalltalk.confirmation.no	Editorial
"""no I would not"","	smalltalk.confirmation.no	Editorial
"""let 's not"","	smalltalk.confirmation.no	Editorial
"""not needed"","	smalltalk.confirmation.no	Editorial
"""not this time"","	smalltalk.confirmation.no	Editorial
"""no don't do that"","	smalltalk.confirmation.no	Editorial
"""thanks but no thanks"","	smalltalk.confirmation.no	Editorial
"""no that's wrong"","	smalltalk.confirmation.no	Editorial
"""not this"","	smalltalk.confirmation.no	Editorial
"""definitely not"","	smalltalk.confirmation.no	Editorial
"""not at this time"","	smalltalk.confirmation.no	Editorial
"""not exactly"","	smalltalk.confirmation.no	Editorial
"""no don't"","	smalltalk.confirmation.no	Editorial
"""not really no"","	smalltalk.confirmation.no	Editorial
"""no thank you not right now"","	smalltalk.confirmation.no	Editorial
"""actually no"","	smalltalk.confirmation.no	Editorial
"""no leave it"","	smalltalk.confirmation.no	Editorial
"""sorry no"","	smalltalk.confirmation.no	Editorial
"""no incorrect"","	smalltalk.confirmation.no	Editorial
"""nope sorry"","	smalltalk.confirmation.no	Editorial
"""I say no"","	smalltalk.confirmation.no	Editorial
"""not really"","	smalltalk.confirmation.no	Editorial
"""not right now thanks"","	smalltalk.confirmation.no	Editorial
"""I think no"","	smalltalk.confirmation.no	Editorial
"""absolutely no"","	smalltalk.confirmation.no	Editorial
"""no actually"","	smalltalk.confirmation.no	Editorial
"""apparently not"","	smalltalk.confirmation.no	Editorial
"""no do not"","	smalltalk.confirmation.no	Editorial
"""no just no"","	smalltalk.confirmation.no	Editorial
"""no but thank you"","	smalltalk.confirmation.no	Editorial
"""no need thanks"","	smalltalk.confirmation.no	Editorial
"""no thank you though"","	smalltalk.confirmation.no	Editorial
"""no thank you very much"","	smalltalk.confirmation.no	Editorial
"""no thanks not right now"","	smalltalk.confirmation.no	Editorial
"""no forget"""	smalltalk.confirmation.no	Editorial
"""wait a second"","	smalltalk.dialog.hold_on	Editorial
"""could you wait"","	smalltalk.dialog.hold_on	Editorial
"""wait please"","	smalltalk.dialog.hold_on	Editorial
"""hold on"","	smalltalk.dialog.hold_on	Editorial
"""wait"","	smalltalk.dialog.hold_on	Editorial
"""oh wait"","	smalltalk.dialog.hold_on	Editorial
"""wait hold on"","	smalltalk.dialog.hold_on	Editorial
"""don't rush"""	smalltalk.dialog.hold_on	Editorial
"""wanna hug"","	smalltalk.dialog.hug	Editorial
"""hug you"","	smalltalk.dialog.hug	Editorial
"""do you want a hug"","	smalltalk.dialog.hug	Editorial
"""may I hug you"","	smalltalk.dialog.hug	Editorial
"""could you give me a hug"","	smalltalk.dialog.hug	Editorial
"""I want a hug"","	smalltalk.dialog.hug	Editorial
"""hug"","	smalltalk.dialog.hug	Editorial
"""hug me"","	smalltalk.dialog.hug	Editorial
"""hugged"","	smalltalk.dialog.hug	Editorial
"""you hugged"","	smalltalk.dialog.hug	Editorial
"""hugging"","	smalltalk.dialog.hug	Editorial
"""hugging me"","	smalltalk.dialog.hug	Editorial
"""hugged me"","	smalltalk.dialog.hug	Editorial
"""want a hug"","	smalltalk.dialog.hug	Editorial
"""a hug"""	smalltalk.dialog.hug	Editorial
"""I don't care"","	smalltalk.dialog.i_do_not_care	Editorial
"""I shouldn't care about this"","	smalltalk.dialog.i_do_not_care	Editorial
"""whatever"","	smalltalk.dialog.i_do_not_care	Editorial
"""I do not care"","	smalltalk.dialog.i_do_not_care	Editorial
"""I don't care at all"","	smalltalk.dialog.i_do_not_care	Editorial
"""not caring"","	smalltalk.dialog.i_do_not_care	Editorial
"""not care at all"","	smalltalk.dialog.i_do_not_care	Editorial
"""don't care at all"","	smalltalk.dialog.i_do_not_care	Editorial
"""not caring at all"""	smalltalk.dialog.i_do_not_care	Editorial
"""excuse me"","	?smalltalk.dialog.sorry	Editorial
"""apologise"","	?smalltalk.dialog.sorry	Editorial
"""I apologize"","	?smalltalk.dialog.sorry	Editorial
"""sorry"","	?smalltalk.dialog.sorry	Editorial
"""I'm sorry"","	?smalltalk.dialog.sorry	Editorial
"""I am so sorry"","	?smalltalk.dialog.sorry	Editorial
"""my apologies"","	?smalltalk.dialog.sorry	Editorial
"""apologies"","	?smalltalk.dialog.sorry	Editorial
"""apologies to me"","	?smalltalk.dialog.sorry	Editorial
"""apology"","	?smalltalk.dialog.sorry	Editorial
"""excuse"","	?smalltalk.dialog.sorry	Editorial
"""I beg your pardon"","	?smalltalk.dialog.sorry	Editorial
"""pardon"","	?smalltalk.dialog.sorry	Editorial
"""I said sorry"","	?smalltalk.dialog.sorry	Editorial
"""I am really sorry"","	?smalltalk.dialog.sorry	Editorial
"""forgive me"","	?smalltalk.dialog.sorry	Editorial
"""sorry about that"","	?smalltalk.dialog.sorry	Editorial
"""sorry about this"","	?smalltalk.dialog.sorry	Editorial
"""really sorry"","	?smalltalk.dialog.sorry	Editorial
"""very sorry"","	?smalltalk.dialog.sorry	Editorial
"""ok sorry"","	?smalltalk.dialog.sorry	Editorial
"""I want to say sorry"","	?smalltalk.dialog.sorry	Editorial
"""alright I'm sorry"","	?smalltalk.dialog.sorry	Editorial
"""okay I'm sorry"""	?smalltalk.dialog.sorry	Editorial
"""what exactly do you mean"","	smalltalk.dialog.what_do_you_mean	Editorial
"""what do you mean"","	smalltalk.dialog.what_do_you_mean	Editorial
"""is that what you mean"","	smalltalk.dialog.what_do_you_mean	Editorial
"""what do you mean exactly"","	smalltalk.dialog.what_do_you_mean	Editorial
"""but what do you mean"""	smalltalk.dialog.what_do_you_mean	Editorial
"""that was wrong"","	smalltalk.dialog.wrong	Editorial
"""that's not what I asked"","	smalltalk.dialog.wrong	Editorial
"""that's wrong"","	smalltalk.dialog.wrong	Editorial
"""wrong"","	smalltalk.dialog.wrong	Editorial
"""it is not right"","	smalltalk.dialog.wrong	Editorial
"""that's not right"","	smalltalk.dialog.wrong	Editorial
"""it's wrong"","	smalltalk.dialog.wrong	Editorial
"""that is incorrect"","	smalltalk.dialog.wrong	Editorial
"""incorrect"","	smalltalk.dialog.wrong	Editorial
"""not correct"","	smalltalk.dialog.wrong	Editorial
"""you are wrong"","	smalltalk.dialog.wrong	Editorial
"""not right"""	smalltalk.dialog.wrong	Editorial
"""huh"","	smalltalk.emotions.ha_ha	Editorial
"""lol"","	smalltalk.emotions.ha_ha	Editorial
"""xd"","	smalltalk.emotions.ha_ha	Editorial
"""ha ha"","	smalltalk.emotions.ha_ha	Editorial
"""ahahah"","	smalltalk.emotions.ha_ha	Editorial
"""ahah lol"","	smalltalk.emotions.ha_ha	Editorial
"""laughing out loud"","	smalltalk.emotions.ha_ha	Editorial
"""LMAO"","	smalltalk.emotions.ha_ha	Editorial
"""that's funny"","	smalltalk.emotions.ha_ha	Editorial
"""ah"","	smalltalk.emotions.ha_ha	Editorial
"""ah ah ah"","	smalltalk.emotions.ha_ha	Editorial
"""ahah"","	smalltalk.emotions.ha_ha	Editorial
"""ahaha"","	smalltalk.emotions.ha_ha	Editorial
"""ahahaha"","	smalltalk.emotions.ha_ha	Editorial
"""ha"","	smalltalk.emotions.ha_ha	Editorial
"""ha ha ha"","	smalltalk.emotions.ha_ha	Editorial
"""ha ha ha ha"","	smalltalk.emotions.ha_ha	Editorial
"""hah"","	smalltalk.emotions.ha_ha	Editorial
"""haha"","	smalltalk.emotions.ha_ha	Editorial
"""haha funny"","	smalltalk.emotions.ha_ha	Editorial
"""haha haha haha"","	smalltalk.emotions.ha_ha	Editorial
"""haha that's funny"","	smalltalk.emotions.ha_ha	Editorial
"""haha very funny"","	smalltalk.emotions.ha_ha	Editorial
"""hahaha"","	smalltalk.emotions.ha_ha	Editorial
"""hahaha funny"","	smalltalk.emotions.ha_ha	Editorial
"""hahaha very funny"","	smalltalk.emotions.ha_ha	Editorial
"""he"","	smalltalk.emotions.ha_ha	Editorial
"""hehe"","	smalltalk.emotions.ha_ha	Editorial
"""hehehe"","	smalltalk.emotions.ha_ha	Editorial
"""lmao"""	smalltalk.emotions.ha_ha	Editorial
"""wow"","	smalltalk.emotions.wow	Editorial
"""wow wow"","	smalltalk.emotions.wow	Editorial
"""wow wow wow"","	smalltalk.emotions.wow	Editorial
"""wooow"","	smalltalk.emotions.wow	Editorial
"""woah"""	smalltalk.emotions.wow	Editorial
"""okay see you later"","	smalltalk.greetings.bye	Editorial
"""hope to see you later"","	smalltalk.greetings.bye	Editorial
"""bye for now"","	smalltalk.greetings.bye	Editorial
"""till next time"","	smalltalk.greetings.bye	Editorial
"""I must go"","	smalltalk.greetings.bye	Editorial
"""bye"","	smalltalk.greetings.bye	Editorial
"""goodbye"","	smalltalk.greetings.bye	Editorial
"""see you"","	smalltalk.greetings.bye	Editorial
"""see you soon"","	smalltalk.greetings.bye	Editorial
"""bye-bye"","	smalltalk.greetings.bye	Editorial
"""good bye"","	smalltalk.greetings.bye	Editorial
"""bye bye see you"","	smalltalk.greetings.bye	Editorial
"""bye bye see you soon"","	smalltalk.greetings.bye	Editorial
"""bye bye take care"","	smalltalk.greetings.bye	Editorial
"""I said bye"","	smalltalk.greetings.bye	Editorial
"""never mind bye"","	smalltalk.greetings.bye	Editorial
"""now bye"","	smalltalk.greetings.bye	Editorial
"""that's all goodbye"","	smalltalk.greetings.bye	Editorial
"""that's it goodbye"","	smalltalk.greetings.bye	Editorial
"""leave me alone"","	smalltalk.greetings.bye	Editorial
